ID	Text
Age11Log1	У меня таинственным образом исчезают подписчики в соцсети. Я не понимаю, что происходит!
Age11Log2	У меня таинственным образом исчезают подписчики в соцсети. Я не понимаю, что происходит!
Age11Log3	У меня таинственным образом исчезают подписчики в соцсети. Я не понимаю, что происходит!
Age11Log4	У меня таинственным образом исчезают подписчики в соцсети. Я не понимаю, что происходит!
Age11Log5	У меня таинственным образом исчезают подписчики в соцсети. Я не понимаю, что происходит!
Age11Log6	У меня таинственным образом исчезают подписчики в соцсети. Я не понимаю, что происходит!
Age11Log7	У меня таинственным образом исчезают подписчики в соцсети. Я не понимаю, что происходит!
Age11Log8	У меня таинственным образом исчезают подписчики в соцсети. Я не понимаю, что происходит!
Age11Log9	У меня таинственным образом исчезают подписчики в соцсети. Я не понимаю, что происходит!
Age11Log10	У меня таинственным образом исчезают подписчики в соцсети. Я не понимаю, что происходит!
Age12Log1	Мне приснился кошмар, будто кто-то запрограмировал мою жизнь на сто лет вперед
Age12Log2	Мне приснился кошмар, будто кто-то запрограмировал мою жизнь на сто лет вперед
Age12Log3	Мне приснился кошмар, будто кто-то запрограмировал мою жизнь на сто лет вперед
Age12Log4	Мне приснился кошмар, будто кто-то запрограмировал мою жизнь на сто лет вперед
Age12Log5	Мне приснился кошмар, будто кто-то запрограмировал мою жизнь на сто лет вперед
Age12Log6	Мне приснился кошмар, будто кто-то запрограмировал мою жизнь на сто лет вперед
Age12Log7	Мне приснился кошмар, будто кто-то запрограмировал мою жизнь на сто лет вперед
Age12Log8	Мне приснился кошмар, будто кто-то запрограмировал мою жизнь на сто лет вперед
Age12Log9	Мне приснился кошмар, будто кто-то запрограмировал мою жизнь на сто лет вперед
Age12Log10	Мне приснился кошмар, будто кто-то запрограмировал мою жизнь на сто лет вперед
Age13Log1	Птица обкакала мне рукав. Одноклассники заметили это раньше, чем я. Ненавижу птиц
Age13Log2	Птица обкакала мне рукав. Одноклассники заметили это раньше, чем я. Ненавижу птиц
Age13Log3	Птица обкакала мне рукав. Одноклассники заметили это раньше, чем я. Ненавижу птиц
Age13Log4	Птица обкакала мне рукав. Одноклассники заметили это раньше, чем я. Ненавижу птиц
Age13Log5	Птица обкакала мне рукав. Одноклассники заметили это раньше, чем я. Ненавижу птиц
Age13Log6	Птица обкакала мне рукав. Одноклассники заметили это раньше, чем я. Ненавижу птиц
Age13Log7	Птица обкакала мне рукав. Одноклассники заметили это раньше, чем я. Ненавижу птиц
Age13Log8	Птица обкакала мне рукав. Одноклассники заметили это раньше, чем я. Ненавижу птиц
Age13Log9	Птица обкакала мне рукав. Одноклассники заметили это раньше, чем я. Ненавижу птиц
Age13Log10	Птица обкакала мне рукав. Одноклассники заметили это раньше, чем я. Ненавижу птиц
Age14Log1	Кто ты, моя будущая первая любовь? Мы уже знакомы, или еще нет?
Age14Log2	Кто ты, моя будущая первая любовь? Мы уже знакомы, или еще нет?
Age14Log3	Кто ты, моя будущая первая любовь? Мы уже знакомы, или еще нет?
Age14Log4	Кто ты, моя будущая первая любовь? Мы уже знакомы, или еще нет?
Age14Log5	Кто ты, моя будущая первая любовь? Мы уже знакомы, или еще нет?
Age14Log6	Кто ты, моя будущая первая любовь? Мы уже знакомы, или еще нет?
Age14Log7	Кто ты, моя будущая первая любовь? Мы уже знакомы, или еще нет?
Age14Log8	Кто ты, моя будущая первая любовь? Мы уже знакомы, или еще нет?
Age14Log9	Кто ты, моя будущая первая любовь? Мы уже знакомы, или еще нет?
Age14Log10	Кто ты, моя будущая первая любовь? Мы уже знакомы, или еще нет?
Age15Log1	Интересно, у меня получится водить машину?
Age15Log2	Интересно, у меня получится водить машину?
Age15Log3	Интересно, у меня получится водить машину?
Age15Log4	Интересно, у меня получится водить машину?
Age15Log5	Интересно, у меня получится водить машину?
Age15Log6	Интересно, у меня получится водить машину?
Age15Log7	Интересно, у меня получится водить машину?
Age15Log8	Интересно, у меня получится водить машину?
Age15Log9	Интересно, у меня получится водить машину?
Age15Log10	Интересно, у меня получится водить машину?
Age16Log1	Ого! за этот год мой рост увеличился на целых 2 сантиметра!
Age16Log2	Ого! за этот год мой рост увеличился на целых 2 сантиметра!
Age16Log3	Ого! за этот год мой рост увеличился на целых 2 сантиметра!
Age16Log4	Ого! за этот год мой рост увеличился на целых 2 сантиметра!
Age16Log5	Ого! за этот год мой рост увеличился на целых 2 сантиметра!
Age16Log6	Ого! за этот год мой рост увеличился на целых 2 сантиметра!
Age16Log7	Ого! за этот год мой рост увеличился на целых 2 сантиметра!
Age16Log8	Ого! за этот год мой рост увеличился на целых 2 сантиметра!
Age16Log9	Ого! за этот год мой рост увеличился на целых 2 сантиметра!
Age16Log10	Ого! за этот год мой рост увеличился на целых 2 сантиметра!
Age17Log1	Мое тело меняется! И голос тоже! А вдруг я превращусь в мутанта?
Age17Log2	Мое тело меняется! И голос тоже! А вдруг я превращусь в мутанта?
Age17Log3	Мое тело меняется! И голос тоже! А вдруг я превращусь в мутанта?
Age17Log4	Мое тело меняется! И голос тоже! А вдруг я превращусь в мутанта?
Age17Log5	Мое тело меняется! И голос тоже! А вдруг я превращусь в мутанта?
Age17Log6	Мое тело меняется! И голос тоже! А вдруг я превращусь в мутанта?
Age17Log7	Мое тело меняется! И голос тоже! А вдруг я превращусь в мутанта?
Age17Log8	Мое тело меняется! И голос тоже! А вдруг я превращусь в мутанта?
Age17Log9	Мое тело меняется! И голос тоже! А вдруг я превращусь в мутанта?
Age17Log10	Мое тело меняется! И голос тоже! А вдруг я превращусь в мутанта?
